#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
13	NM_005066	chr1	-	35649200	35658743	35650056	35658650	10	35649200,35652601,35652803,35653573,35654603,35654786,35656098,35656294,35656941,35657822,	35650194,35652723,35652852,35653691,35654688,35654983,35656194,35656596,35657130,35658743,	0	SFPQ	cmpl	cmpl	0,1,0,2,1,2,2,0,0,0,
13	NM_005119	chr1	+	36690016	36770957	36748164	36769618	12	36690016,36724982,36748133,36751968,36754660,36756974,36758198,36759451,36762183,36766486,36767153,36769396,	36690106,36725085,36748301,36752871,36755365,36757147,36758310,36759536,36762371,36766685,36767297,36770957,	0	THRAP3	cmpl	cmpl	-1,-1,0,2,2,2,1,2,0,2,0,0,
13	NM_001321471	chr1	+	36690012	36770957	36748164	36769618	13	36690012,36690571,36724982,36748133,36751968,36754660,36756974,36758198,36759451,36762183,36766486,36767153,36769396,	36690106,36690703,36725085,36748301,36752871,36755365,36757147,36758310,36759536,36762371,36766685,36767297,36770957,	0	THRAP3	cmpl	cmpl	-1,-1,-1,0,2,2,2,1,2,0,2,0,0,
13	NM_012090	chr1	+	39549838	39952810	39549890	39951466	93	39549838,39696853,39715685,39719969,39723607,39747879,39748860,39749080,39749737,39750004,39750754,39750968,39751275,39752957,39757581,39758437,39759129,39760717,39761458,39763291,39765881,39768595,39775241,39775916,39776502,39781184,39782062,39782885,39784124,39785335,39788279,39788581,39789864,39790317,39792889,39815149,39816456,39818678,39823046,39824368,39824812,39826464,39827031,39833819,39835701,39838150,39844132,39844874,39845915,39847624,39851105,39852858,39888045,39888401,39889699,39893126,39893632,39894913,39895498,39896373,39898206,39898719,39900085,39901229,39902146,39903446,39904945,39906674,39906895,39907623,39907818,39908083,39908385,39909117,39910333,39913103,39913363,39913704,39914265,39916723,39917827,39918355,39919378,39920580,39924041,39924757,39926303,39927554,39929283,39934286,39945469,39950272,39951209,	39550110,39696915,39715775,39720047,39723700,39748046,39748973,39749187,39749857,39750100,39750882,39751062,39751430,39753234,39757710,39758515,39759291,39760822,39761554,39763417,39766034,39768750,39775368,39776100,39776672,39781363,39782201,39783079,39784287,39785419,39788387,39788680,39790017,39790406,39793025,39815299,39816690,39818903,39823565,39824545,39824936,39826673,39827349,39833986,39835858,39838268,39844195,39845116,39846045,39847824,39851601,39854330,39888207,39888572,39889866,39893286,39893959,39894998,39895740,39896580,39898326,39898827,39900304,39901433,39902153,39903680,39905172,39906797,39906997,39907725,39907992,39908239,39908583,39909246,39910507,39913259,39913570,39913824,39914435,39916883,39918022,39918484,39919522,39920769,39924162,39924921,39926466,39927709,39929358,39934404,39945681,39950402,39952810,	0	MACF1	cmpl	cmpl	0,1,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,
15	NM_007051	chr1	-	50906934	51425936	50907111	51425483	19	50906934,50941135,50956259,50957392,51001040,51005263,51032748,51048289,51049323,51050356,51061792,51121113,51171457,51204534,51210355,51253671,51267302,51323600,51425438,	50907195,50941351,50956337,50957473,51001129,51005400,51032903,51048371,51049387,51050483,51061888,51121200,51171563,51204626,51210447,51253877,51267349,51323669,51425936,	0	FAF1	cmpl	cmpl	0,0,0,0,1,2,0,2,1,0,0,0,2,0,1,2,0,0,0,
16	NM_001198687	chr1	+	65991371	66096095	66031248	66096088	19	65991371,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66095884,	65991501,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66096095,	0	LEPR	cmpl	cmpl	-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
16	NM_001198689	chr1	+	65991371	66101111	66031248	66098852	19	65991371,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66098834,	65991501,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66101111,	0	LEPR	cmpl	cmpl	-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
16	NM_001198688	chr1	+	65991371	66091917	66031248	66091853	19	65991371,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66091805,	65991501,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66091917,	0	LEPR	cmpl	cmpl	-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
16	NM_002303	chr1	+	65886334	66103176	66031248	66102698	20	65886334,65890985,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66101873,	65886423,65891061,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66103176,	0	LEPR	cmpl	cmpl	-1,-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
16	NM_001003679	chr1	+	65886334	66101111	66031248	66098852	20	65886334,65890985,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66098834,	65886423,65891061,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66101111,	0	LEPR	cmpl	cmpl	-1,-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
16	NM_001003680	chr1	+	65886334	66096095	66031248	66096088	20	65886334,65890985,66031228,66036155,66038008,66058339,66062130,66064342,66067074,66067525,66070720,66074435,66075629,66075896,66081690,66083646,66085610,66087035,66088588,66095884,	65886423,65891061,66031288,66036485,66038132,66058548,66062276,66064487,66067365,66067643,66070920,66074584,66075789,66075979,66081907,66083829,66085706,66087141,66088664,66096095,	0	LEPR	cmpl	cmpl	-1,-1,0,1,1,2,1,0,1,1,2,1,0,1,0,1,1,1,2,0,
23	NM_001200001	chr1	-	120477735	120612317	120478041	120612020	22	120477735,120479904,120480479,120483177,120484148,120491036,120491629,120493346,120496165,120497662,120502014,120506196,120508075,120508998,120510055,120510699,120512133,120529582,120539619,120547951,120572528,120611947,	120478227,120480089,120480633,120483379,120484377,120491189,120491749,120493460,120496311,120497855,120502125,120506430,120508189,120509112,120510244,120510855,120512367,120529705,120539955,120548211,120572610,120612317,	0	NOTCH2	cmpl	cmpl	0,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,
23	NM_024408	chr1	-	120454175	120612317	120457928	120612020	34	120454175,120460287,120461028,120461934,120462851,120464335,120464858,120465258,120466259,120467927,120469121,120471598,120478094,120479904,120480479,120483177,120484148,120491036,120491629,120493346,120496165,120497662,120502014,120506196,120508075,120508998,120510055,120510699,120512133,120529582,120539619,120547951,120572528,120611947,	120459317,120460385,120461176,120462236,120463020,120464432,120465069,120465401,120466607,120468433,120469234,120471835,120478227,120480089,120480633,120483379,120484377,120491189,120491749,120493460,120496311,120497855,120502125,120506430,120508189,120509112,120510244,120510855,120512367,120529705,120539955,120548211,120572610,120612317,	0	NOTCH2	cmpl	cmpl	0,1,0,1,0,2,1,2,2,0,1,1,0,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,
26	NM_001039703	chr1	+	145293370	146466121	145293405	146466121	86	145293370,145295422,145296356,145297618,145298154,145299729,145301719,145302653,145303909,145304446,145305944,145309899,145311102,145311785,145312677,145313333,145314215,145314903,145315790,145316511,145317405,145318053,145318935,145319623,145320510,145321229,145322123,145322771,145323653,145324347,145325234,145325951,145331574,145332222,145333104,145333796,145334683,145335388,145336280,145336928,145337810,145338516,145339403,145340108,145341000,145341648,145342530,145343240,145344127,145344832,145345724,145346372,145347254,145347964,145348851,145349562,145350454,145351102,145351984,145352684,145353571,145354294,145355186,145355836,145362978,145363678,145364565,145365286,146420910,146448373,146449255,146449977,146450864,146451598,146452490,146456358,146457250,146457897,146458779,146459497,146460384,146461118,146462010,146462657,146465150,146465877,	145293580,145295525,145296571,145297691,145298366,145299939,145301822,145302868,145303982,145304652,145305996,145310063,145311154,145311958,145312729,145313506,145314267,145315076,145315899,145316684,145317457,145318226,145318987,145319796,145320619,145321402,145322175,145322944,145323705,145324520,145325343,145326124,145331626,145332395,145333156,145333969,145334792,145335561,145336332,145337101,145337862,145338689,145339512,145340281,145341052,145341821,145342582,145343413,145344236,145345005,145345776,145346545,145347306,145348137,145348960,145349735,145350506,145351275,145352036,145352857,145353680,145354467,145355238,145356009,145363030,145363851,145364674,145365459,146420962,146448546,146449307,146450150,146450973,146451771,146452542,146456531,146457302,146458070,146458831,146459670,146460493,146461291,146462062,146462830,146465259,146466121,	0	NBPF10	cmpl	cmpl	0,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
26	NM_001302371	chr1	+	145293370	146466121	145293405	146466121	90	145293370,145295422,145296356,145297618,145298154,145299729,145301719,145302653,145303909,145304446,145305944,145309899,145311102,145311785,145312677,145313333,145314215,145314903,145315790,145316511,145317405,145318053,145318935,145319623,145320510,145321229,145322123,145322771,145323653,145324347,145325234,145325951,145331574,145332222,145333104,145333796,145334683,145335388,145336280,145336928,145337810,145338516,145339403,145340108,145341000,145341648,145342530,145343240,145344127,145344832,145345724,145346372,145347254,145347964,145348851,145349562,145350454,145351102,145351984,145352684,145353571,145354294,145355186,145355836,145362978,145363678,145364565,145365286,146420910,146448373,146449255,146449977,146450864,146451598,146452490,146453137,146454019,146454737,146455624,146456358,146457250,146457897,146458779,146459497,146460384,146461118,146462010,146462657,146465150,146465877,	145293580,145295525,145296571,145297691,145298366,145299939,145301822,145302868,145303982,145304652,145305996,145310063,145311154,145311958,145312729,145313506,145314267,145315076,145315899,145316684,145317457,145318226,145318987,145319796,145320619,145321402,145322175,145322944,145323705,145324520,145325343,145326124,145331626,145332395,145333156,145333969,145334792,145335561,145336332,145337101,145337862,145338689,145339512,145340281,145341052,145341821,145342582,145343413,145344236,145345005,145345776,145346545,145347306,145348137,145348960,145349735,145350506,145351275,145352036,145352857,145353680,145354467,145355238,145356009,145363030,145363851,145364674,145365459,146420962,146448546,146449307,146450150,146450973,146451771,146452542,146453310,146454071,146454910,146455733,146456531,146457302,146458070,146458831,146459670,146460493,146461291,146462062,146462830,146465259,146466121,	0	NBPF10	cmpl	cmpl	0,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
27	NM_001278190	chr1	-	154127779	154155725	154130114	154155595	7	154127779,154142875,154144504,154145383,154145559,154148590,154155463,	154130197,154142945,154144580,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	1,0,2,0,2,0,0,
27	NM_152263	chr1	-	154134288	154164611	154140412	154164494	10	154134288,154141780,154142875,154143124,154143888,154145383,154145559,154148590,154163661,154164377,	154140416,154141859,154142945,154143187,154143964,154145454,154145677,154148724,154163787,154164611,	0	TPM3	cmpl	cmpl	2,1,0,0,2,0,2,0,0,0,
27	NM_001043352	chr1	-	154127779	154155725	154131444	154155595	8	154127779,154142875,154143124,154144504,154145383,154145559,154148590,154155463,	154131524,154142945,154143187,154144580,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	1,0,0,2,0,2,0,0,
27	NM_001043351	chr1	-	154127779	154155725	154130114	154155595	8	154127779,154142875,154143124,154143888,154145383,154145559,154148590,154155463,	154130197,154142945,154143187,154143964,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	1,0,0,2,0,2,0,0,
27	NM_001043353	chr1	-	154127779	154155725	154131444	154155595	8	154127779,154142875,154143124,154143888,154145383,154145559,154148590,154155463,	154131524,154142945,154143187,154143964,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	1,0,0,2,0,2,0,0,
27	NM_001278189	chr1	-	154127779	154155725	154130193	154155595	9	154127779,154141780,154142875,154143124,154144504,154145383,154145559,154148590,154155463,	154130197,154141859,154142945,154143187,154144580,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	2,1,0,0,2,0,2,0,0,
27	NM_001278188	chr1	-	154127779	154155725	154130114	154155531	7	154127779,154142875,154143124,154144504,154145383,154145559,154155463,	154130197,154142945,154143187,154144580,154145454,154145677,154155725,	0	TPM3	cmpl	cmpl	1,0,0,2,0,2,0,
27	NM_001278191	chr1	-	154127779	154150697	154130114	154145673	8	154127779,154142875,154143124,154143888,154145383,154145559,154148590,154150589,	154130197,154142945,154143187,154143964,154145454,154145677,154148724,154150697,	0	TPM3	cmpl	cmpl	1,0,0,2,0,0,-1,-1,
27	NM_153649	chr1	-	154127779	154155725	154130114	154155595	8	154127779,154142875,154143124,154144504,154145383,154145559,154148590,154155463,	154130197,154142945,154143187,154144580,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	1,0,0,2,0,2,0,0,
27	NR_103461	chr1	-	154127779	154155725	154155725	154155725	8	154127779,154142875,154143124,154144504,154145383,154145559,154148590,154155463,	154130197,154142941,154143187,154144580,154145454,154145677,154148724,154155725,	0	TPM3	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
27	NM_001349679	chr1	-	154127779	154155725	154130193	154155595	9	154127779,154141780,154142875,154143124,154143888,154145383,154145559,154148590,154155463,	154130197,154141859,154142945,154143187,154143964,154145454,154145677,154148724,154155725,	0	TPM3	cmpl	cmpl	2,1,0,0,2,0,2,0,0,
28	NM_001204961	chr1	+	164528596	164821060	164529059	164790820	8	164528596,164532474,164761730,164768935,164776778,164781226,164790773,164815820,	164529250,164532548,164761975,164769126,164776914,164781386,164790863,164821060,	0	PBX1	cmpl	cmpl	0,2,1,0,2,0,1,-1,
28	NM_002585	chr1	+	164528596	164821060	164529059	164815913	9	164528596,164532474,164761730,164768935,164776778,164781226,164789308,164790773,164815820,	164529250,164532548,164761975,164769126,164776914,164781386,164789421,164790863,164821060,	0	PBX1	cmpl	cmpl	0,2,1,0,2,0,1,0,0,
28	NM_001204963	chr1	+	164528596	164821060	164529059	164818639	9	164528596,164532474,164761730,164768935,164776778,164781226,164789308,164790773,164818576,	164529250,164532548,164761975,164769126,164776914,164781386,164789421,164790863,164821060,	0	PBX1	cmpl	cmpl	0,2,1,0,2,0,1,0,0,
29	NM_001350205	chr1	+	171810617	172102532	171810796	172102037	16	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172062835,172100314,172102028,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172062865,172100428,172102532,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,0,
29	NM_001278252	chr1	+	171810617	172102532	171810796	172102037	15	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172100314,172102028,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172100428,172102532,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,
29	NM_015569	chr1	+	171810617	172381857	171810796	172376981	21	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172100314,172222712,172277867,172292468,172348157,172356272,172357712,172376911,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172100428,172222822,172277979,172292480,172348322,172356499,172357949,172381857,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,2,0,0,0,2,2,
29	NM_001350206	chr1	+	171810617	172387603	171810796	172387457	21	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172062835,172100314,172222712,172277867,172348157,172356272,172357712,172387420,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172062865,172100428,172222822,172277979,172348322,172356499,172357949,172387603,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,0,2,0,0,2,2,
29	NM_001350204	chr1	+	171810617	172381857	171810796	172376981	21	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172062835,172100314,172222712,172277867,172348157,172356272,172357712,172376911,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172062865,172100428,172222822,172277979,172348322,172356499,172357949,172381857,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,0,2,0,0,2,2,
29	NM_001136127	chr1	+	171810617	172381857	171810796	172376981	20	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172100314,172222712,172277867,172348157,172356272,172357712,172376911,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172100428,172222822,172277979,172348322,172356499,172357949,172381857,	0	DNM3	cmpl	cmpl	0,2,1,1,1,1,0,2,0,2,0,0,2,0,0,2,0,0,2,2,
29	NR_146559	chr1	+	171810617	172381857	172381857	172381857	21	171810617,171890887,171956795,171958084,172001541,172002244,172007458,172011148,172013524,172017751,172037958,172050971,172061963,172062835,172100314,172222712,172277867,172348157,172356272,172357712,172376911,	171810957,171890961,171956945,171958288,172001640,172002405,172007601,172011284,172013592,172017890,172038045,172051042,172062015,172062881,172100428,172222822,172277979,172348322,172356499,172357949,172381857,	0	DNM3	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
31	NM_000963	chr1	-	186640943	186649559	186643484	186649422	10	186640943,186644380,186645029,186645598,186645964,186646780,186647392,186648189,186648453,186649370,	186643894,186644528,186645316,186645845,186646048,186646962,186647536,186648333,186648570,186649559,	0	PTGS2	cmpl	cmpl	1,0,1,0,0,1,1,1,1,0,
37	NM_000254	chr1	+	236958580	237067281	236959003	237060944	33	236958580,236966727,236969443,236972003,236973802,236976037,236978903,236979748,236987418,236988637,236990128,236992488,236995265,236998846,237001713,237013643,237015820,237016247,237023132,237024424,237025535,237026753,237037072,237038025,237044054,237048420,237049591,237052480,237054432,237057656,237058657,237060305,237060857,	236959037,236966942,236969533,236972073,236973895,236976144,236978963,236979843,236987519,236988699,236990196,236992568,236995378,236998987,237001899,237013823,237015937,237016388,237023222,237024577,237025643,237026854,237037140,237038146,237044136,237048519,237049667,237052636,237054629,237057857,237058850,237060418,237067281,	0	MTR	cmpl	cmpl	0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,1,0,
37	NM_001291939	chr1	+	236958580	237067281	236959003	237060944	32	236958580,236966727,236969443,236972003,236973802,236976037,236978903,236979748,236987418,236988637,236990128,236992488,236995265,236998846,237001713,237013643,237015820,237016247,237023132,237025535,237026753,237037072,237038025,237044054,237048420,237049591,237052480,237054432,237057656,237058657,237060305,237060857,	236959037,236966942,236969533,236972073,236973895,236976144,236978963,236979843,236987519,236988699,236990196,236992568,236995378,236998987,237001899,237013823,237015937,237016388,237023222,237025643,237026854,237037140,237038146,237044136,237048519,237049667,237052636,237054629,237057857,237058850,237060418,237067281,	0	MTR	cmpl	cmpl	0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,1,0,
37	NM_001291940	chr1	+	236958580	237067281	236998879	237060944	32	236958580,236966727,236969443,236972003,236973802,236976037,236978903,236979748,236987418,236988637,236990128,236992488,236998846,237001713,237013643,237015820,237016247,237023132,237024424,237025535,237026753,237037072,237038025,237044054,237048420,237049591,237052480,237054432,237057656,237058657,237060305,237060857,	236959037,236966942,236969533,236972073,236973895,236976144,236978963,236979843,236987519,236988699,236990196,236992568,236998987,237001899,237013823,237015937,237016388,237023222,237024577,237025643,237026854,237037140,237038146,237044136,237048519,237049667,237052636,237054629,237057857,237058850,237060418,237067281,	0	MTR	cmpl	cmpl	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,1,0,
74	NM_033487	chr1	-	1570602	1655859	1571125	1577348	18	1570602,1571298,1571694,1572043,1572258,1572442,1572769,1573123,1573861,1575637,1576408,1577022,1577266,1647784,1650766,1653034,1654146,1655705,	1571218,1571488,1571843,1572160,1572366,1572564,1572875,1573245,1573952,1575813,1576474,1577181,1577362,1647917,1650894,1653150,1654271,1655859,	0	CDK11B	cmpl	cmpl	0,2,0,0,0,1,0,1,0,1,1,1,0,-1,-1,-1,-1,-1,
74	NM_033490	chr1	-	1570602	1655859	1571125	1577849	19	1570602,1571298,1571694,1572043,1572258,1572442,1572769,1573123,1573861,1575637,1576408,1577022,1577266,1577746,1647784,1650766,1653034,1654146,1655705,	1571218,1571488,1571843,1572160,1572366,1572564,1572875,1573245,1573952,1575813,1576474,1577181,1577362,1577869,1647917,1650894,1653150,1654271,1655859,	0	CDK11B	cmpl	cmpl	0,2,0,0,0,1,0,1,0,1,1,1,1,0,-1,-1,-1,-1,-1,
